Murder,Rape,Kidnap,Dacoity/theft,Fraud,Sexual_harassment,Offences_against_state,Blocks,Villages,Clusters,Total_population,Urban_population,Sex_ratio,Overall_literacy,Female_lit,Male_lit,Area_sqkm,Total_crimes
54,197,141,134,22,182,5,9,1205,73,1053522.0,12.4,1005.0,68.28,57.2,79.5,5800.0,2347
95,270,140,580,39,375,0,5,904,51,1339832.0,20.7,966.0,72.75,58.3,86.8,5535.0,5722
95,131,120,736,30,357,0,7,839,64,1965137.0,23.9,839.0,72.07,57.64,84.2,4989.0,5992
26,141,41,338,17,136,0,3,763,35,825958.0,29.7,959.0,71.81,57.25,85.9,4256.0,3035
45,123,145,182,11,132,0,5,1145,63,1016028.0,12.3,907.0,66.08,55.55,75.6,7135.0,2135
105,486,90,473,21,314,0,7,1404,74,1331699.0,22.8,899.0,74.26,65.09,82.5,8466.0,5520
62,284,112,549,25,381,7,6,1626,77,1546541.0,17.9,955.0,62.68,49.79,75.1,6153.0,5704
91,207,172,523,35,297,0,6,1224,68,1454483.0,29.9,973.0,68.03,56.45,79.4,4861.0,4671
112,330,272,1304,41,296,8,9,1778,143,2363744.0,16.7,930.0,73.42,62.49,83.7,6314.0,6879
138,380,214,726,29,625,2,11,1896,90,2378295.0,29.8,896.0,77.52,67.71,86.3,10252.0,7912
132,566,451,945,38,424,0,8,1840,99,2228619.0,21.3,927.0,73.79,63.42,83.4,7502.0,7894
44,249,155,300,41,196,5,8,1544,80,1378876.0,11.9,984.0,73.01,64.14,81.8,8758.0,3648
62,366,200,644,40,627,0,5,859,57,1064989.0,20.6,968.0,68.36,58.16,78.3,6205.0,5480
52,204,47,470,20,276,0,4,630,40,1512353.0,19.4,939.0,70.17,56.36,83.2,6195.0,3868
34,69,36,148,11,103,3,3,598,29,687952.0,15.6,902.0,58.02,44.45,70.3,6606.0,1620
119,304,172,651,55,395,0,8,1630,80,1725818.0,17.1,877.0,63.73,49.47,76.2,10066.0,6007
45,120,100,244,21,185,3,5,941,64,1126515.0,8.3,952.0,66.09,55.23,76.5,4851.0,3649
96,372,149,760,25,338,8,5,1116,58,1311008.0,18.9,918.0,71.11,58.86,82.4,6578.0,5236
77,264,114,393,18,220,0,3,714,55,1178132.0,19.3,916.0,62.36,49.86,73.8,5675.0,3512
64,277,79,319,17,196,1,6,843,66,1444920.0,17.3,901.0,62.57,50.71,73.3,5048.0,3638
207,378,148,1594,53,607,0,7,1195,60,1986597.0,39.2,954.0,73.55,61.4,85.2,6091.0,9362
